City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
115,Cape Town,-33.9258,18.4232,62.28,64,32,5.01,ZA,scattered clouds
116,Puerto Ayora,-0.7393,-90.3518,75.54,92,8,5.01,EC,clear sky
117,Hermanus,-34.4187,19.2345,60.91,72,100,9.17,ZA,overcast clouds
118,Eenhana,-17.4667,16.3333,71.29,62,100,8.28,NA,overcast clouds
119,Saldanha,-33.0117,17.9442,61.5,81,0,18.86,ZA,clear sky
120,Garissa,-0.4536,39.6401,77.25,70,55,6.69,KE,broken clouds
121,Georgiyevka,43.0369,74.7114,21.24,93,5,4.47,KZ,clear sky
122,Kenai,60.5544,-151.2583,25.14,93,100,10.51,US,overcast clouds
123,Goderich,43.7501,-81.7165,15.91,87,100,16.62,CA,overcast clouds
124,Itaituba,-4.2761,-55.9836,73.56,92,49,1.34,BR,scattered clouds
125,Poyarkovo,49.6,128.6833,-6.68,91,15,7.09,RU,few clouds
126,Abay,49.6311,72.8539,-5.42,86,3,4.54,KZ,clear sky
127,Miranda,3.2499,-76.2281,73.53,92,100,4.03,CO,overcast clouds
128,Zhifang,30.35,114.3167,42.78,66,12,4.14,CN,few clouds
129,Obo,5.3998,26.4869,72.7,30,100,4.41,CF,overcast clouds
130,Rognan,67.0953,15.3878,23.14,83,100,16.24,NO,light snow
131,Olafsvik,64.8945,-23.7142,27.7,74,98,28.48,IS,overcast clouds
132,Jacareacanga,-6.2222,-57.7528,74.55,89,100,2.06,BR,overcast clouds
133,Sitka,57.0531,-135.33,44.49,87,100,18.41,US,light rain
134,Ocampo,21.65,-101.5,57.79,34,100,9.95,MX,overcast clouds
135,Santa Cruz Do Sul,-29.7175,-52.4258,81.99,75,97,6.04,BR,moderate rain
136,Lichtenburg,-26.152,26.1597,61.16,95,44,6.46,ZA,scattered clouds
137,Saskylakh,71.9167,114.0833,-16.13,97,100,1.7,RU,overcast clouds
138,Kirakira,-10.4544,161.9205,81.97,82,100,10.74,SB,light rain
139,Umm Lajj,25.0213,37.2685,68.34,48,0,18.41,SA,clear sky
140,Atambua,-9.1061,124.8925,79.74,76,61,7.49,ID,broken clouds
141,Bluff,-46.6,168.3333,49.5,83,100,1.5,NZ,light rain
142,Srednekolymsk,67.45,153.6833,-29.2,99,47,1.21,RU,scattered clouds
143,Trinidad,-14.8333,-64.9,74.79,92,82,4.88,BO,broken clouds
144,Ilulissat,69.2167,-51.1,19.42,58,100,16.11,GL,overcast clouds
145,Padang,-0.9492,100.3543,77.05,73,92,1.66,ID,overcast clouds
146,Ribeira Grande,38.5167,-28.7,58.68,74,100,17.74,PT,overcast clouds
147,Zhangye,38.9342,100.4517,20.16,41,65,1.16,CN,broken clouds
148,Mundo Nuevo,18.7,-95.5,73.04,91,11,21.52,MX,few clouds
149,Puerto Berrio,6.4916,-74.4033,77.22,80,43,2.06,CO,scattered clouds
150,Baruun-Urt,46.6806,113.2792,-5.67,87,5,6.51,MN,clear sky
151,Sakakah,29.9697,40.2064,53.17,48,0,13.67,SA,clear sky
152,Poum,-20.2333,164.0167,82.51,84,84,15.39,NC,moderate rain
153,Kuytun,54.3419,101.5036,-14.42,100,95,2.59,RU,overcast clouds
154,Leningradskiy,69.3833,178.4167,-8.3,81,2,8.59,RU,clear sky
155,Hearst,49.6835,-83.6665,-17.3,98,11,3.33,CA,few clouds
156,Savannah Bight,16.45,-85.85,80.01,83,0,27.78,HN,clear sky
157,Baykit,61.67,96.37,11.86,97,100,3.56,RU,overcast clouds
158,Kuna,43.4918,-116.4201,32.41,69,75,1.01,US,broken clouds
159,Podgornoye,51.735,39.1496,23.22,100,100,6.71,RU,mist
160,Hithadhoo,-0.6,73.0833,81.61,73,100,10.25,MV,overcast clouds
161,Tiksi,71.6872,128.8694,-11.63,100,100,6.64,RU,overcast clouds
162,Tual,-5.6667,132.75,83.52,73,90,14.09,ID,overcast clouds
163,Yulara,-25.2406,130.9889,78.1,25,93,19.82,AU,overcast clouds
164,Sibu,2.3,111.8167,79.03,90,100,2.8,MY,overcast clouds
165,Rundu,-17.9333,19.7667,65.89,88,82,4.34,NA,broken clouds
166,Chiang Rai,19.9167,99.9167,68.31,41,3,2.98,TH,clear sky
167,Kapaa,22.0752,-159.319,78.78,66,0,1.99,US,clear sky
168,Yumbing,9.2393,124.6578,75.74,91,100,10.96,PH,overcast clouds
169,Hwange,-18.3693,26.5019,67.84,90,53,1.57,ZW,broken clouds
170,Hilo,19.7297,-155.09,76.24,89,21,3.0,US,few clouds
171,Manokwari,-0.8667,134.0833,80.91,76,96,3.94,ID,overcast clouds
172,San Patricio,28.017,-97.5169,35.83,75,100,18.37,US,overcast clouds
173,Vredendal,-31.6683,18.5012,60.26,73,0,7.0,ZA,clear sky
174,Mount Isa,-20.7333,139.5,83.97,32,100,11.5,AU,overcast clouds
175,Babol,36.5513,52.679,52.02,49,0,3.67,IR,clear sky
176,Rafaela,-31.2503,-61.4867,76.05,74,0,4.0,AR,clear sky
177,Noumea,-22.2763,166.4572,87.78,90,100,10.29,NC,overcast clouds
178,Port Blair,11.6667,92.75,77.41,72,12,7.31,IN,few clouds
179,Kalmunai,7.4167,81.8167,74.43,81,7,3.2,LK,clear sky
180,San Quintin,30.4833,-115.95,57.42,62,0,4.14,MX,clear sky
181,Harer,9.3094,42.1258,54.84,18,36,5.88,ET,scattered clouds
182,Port-Gentil,-0.7193,8.7815,79.66,79,100,6.8,GA,overcast clouds
183,Ingham,42.6,-84.3833,16.18,76,40,12.66,US,scattered clouds
184,Smolenskaya,44.7887,38.8018,37.22,98,100,7.16,RU,snow
185,Caborca,30.5838,-111.101,50.0,16,0,8.57,MX,clear sky
186,Kamaishi,39.2667,141.8833,34.54,51,97,13.76,JP,overcast clouds
187,Codrington,-38.2667,141.9667,65.52,62,81,15.01,AU,broken clouds
188,Mahebourg,-20.4081,57.7,80.26,88,100,22.5,MU,light rain
189,Geraldton,-28.7667,114.6,100.81,11,0,16.11,AU,clear sky
