City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Key West,US,2022-02-02 22:55:36,24.5557,-81.7826,75.0,78,38,22.1
94,Zamora,EC,2022-02-02 22:56:36,-4.0692,-78.9567,83.44,89,60,2.8
95,Tasiilaq,GL,2022-02-02 22:55:54,65.6145,-37.6368,9.82,83,100,3.67
96,Lazaro Cardenas,MX,2022-02-02 22:56:37,17.9583,-102.2,79.56,57,0,8.3
97,Longyearbyen,SJ,2022-02-02 22:56:37,78.2186,15.6401,17.44,67,0,20.71
98,Pevek,RU,2022-02-02 22:46:55,69.7008,170.3133,-7.83,75,25,5.23
99,Srisailam,IN,2022-02-02 22:56:38,16.0833,78.8667,64.74,76,6,3.4
100,Macamic,CA,2022-02-02 22:56:39,48.7502,-78.9996,14.23,87,100,7.61
101,Sembe,CG,2022-02-02 22:56:40,1.6481,14.5806,78.67,52,99,2.1
102,Yate,GB,2022-02-02 22:56:40,51.5407,-2.4184,47.41,91,100,1.01
103,Mana,GF,2022-02-02 22:56:41,5.6592,-53.7767,77.07,86,50,10.83
104,Srednekolymsk,RU,2022-02-02 22:56:41,67.45,153.6833,-25.69,99,99,2.13
105,Prince Rupert,CA,2022-02-02 22:56:41,54.3161,-130.3201,39.29,100,100,2.3
106,Panguna,PG,2022-02-02 22:56:42,-6.3164,155.4848,76.77,77,99,2.13
107,Indiana,US,2022-02-02 22:54:58,40.0003,-86.2503,33.57,93,100,12.66
108,Mount Isa,AU,2022-02-02 22:56:43,-20.7333,139.5,80.37,78,75,9.22
109,Castro,BR,2022-02-02 22:56:43,-24.7911,-50.0119,65.95,92,40,5.7
110,Cherskiy,RU,2022-02-02 22:56:44,68.75,161.3,-16.02,67,60,0.94
111,Bereznik,RU,2022-02-02 22:56:44,62.8551,42.7072,10.53,98,100,2.26
112,Makakilo City,US,2022-02-02 22:50:11,21.3469,-158.0858,80.62,59,0,8.05
113,Krasnyy Chikoy,RU,2022-02-02 22:56:45,50.3643,108.7512,-9.27,100,100,2.01
114,Nikolskoye,RU,2022-02-02 22:56:45,59.7035,30.7861,21.09,98,99,0.87
115,Sistranda,NO,2022-02-02 22:56:46,63.7256,8.834,31.96,60,94,22.39
116,Hinton,CA,2022-02-02 22:56:46,53.4001,-117.5857,8.11,80,100,4.14
117,East London,ZA,2022-02-02 22:56:47,-33.0153,27.9116,74.53,94,67,12.88
118,Victoria,HK,2022-02-02 22:52:44,22.2855,114.1577,59.95,93,100,10.22
119,Cayenne,GF,2022-02-02 22:56:48,4.9333,-52.3333,80.1,84,100,5.01
120,Mahebourg,MU,2022-02-02 22:56:33,-20.4081,57.7,80.26,94,75,31.07
121,Praia Da Vitoria,PT,2022-02-02 22:56:49,38.7333,-27.0667,57.76,88,40,7.02
122,Harper,LR,2022-02-02 22:56:51,4.375,-7.7169,79.14,80,87,8.34
123,Emerald,AU,2022-02-02 22:56:52,-23.5333,148.1667,77.14,100,40,8.05
124,Cubuk,TR,2022-02-02 22:56:52,40.2386,33.0322,42.26,61,75,19.57
125,Kidal,ML,2022-02-02 22:56:53,18.4411,1.4078,64.9,12,1,10.71
126,Kaeo,NZ,2022-02-02 22:55:47,-35.1,173.7833,73.33,84,99,11.83
127,Fukue,JP,2022-02-02 22:56:53,32.6881,128.8419,45.99,58,100,18.59
128,Mbanza-Ngungu,CD,2022-02-02 22:56:54,-5.25,14.8667,67.57,93,100,4.18
129,Marfil,MX,2022-02-02 22:56:54,21.0,-101.2833,75.27,20,0,17.76
130,Hambantota,LK,2022-02-02 22:56:55,6.1241,81.1185,72.1,84,5,9.17
131,Ancud,CL,2022-02-02 22:49:38,-41.8697,-73.8203,68.23,78,96,5.59
132,Hualmay,PE,2022-02-02 22:48:07,-11.0964,-77.6139,73.24,73,5,12.66
133,Tiksi,RU,2022-02-02 22:56:56,71.6872,128.8694,-5.15,97,100,6.85
134,Lloydminster,CA,2022-02-02 22:56:56,53.2835,-110.0016,-11.52,76,20,12.66
135,Te Anau,NZ,2022-02-02 22:51:04,-45.4167,167.7167,62.02,79,100,4.99
136,Kenora,CA,2022-02-02 22:56:57,49.8167,-94.4337,-7.62,70,40,13.8
137,Sitka,US,2022-02-02 22:56:37,57.0531,-135.33,39.09,93,100,5.75
138,Constitucion,CL,2022-02-02 22:57:57,-35.3333,-72.4167,62.73,77,38,7.92
139,Luderitz,NA,2022-02-02 22:57:58,-26.6481,15.1594,68.27,78,69,1.88
140,Kodiak,US,2022-02-02 22:57:58,57.79,-152.4072,36.91,87,100,4.61
141,Salalah,OM,2022-02-02 22:51:01,17.0151,54.0924,72.28,29,0,11.05
142,Pocatello,US,2022-02-02 22:57:59,42.8713,-112.4455,21.85,78,61,7.0
143,Arraial Do Cabo,BR,2022-02-02 22:58:01,-22.9661,-42.0278,76.96,94,75,3.44
144,Ribeira Grande,PT,2022-02-02 22:58:01,38.5167,-28.7,59.68,74,9,9.6
145,Yar-Sale,RU,2022-02-02 22:58:02,66.8333,70.8333,0.64,97,100,13.38
146,Bubaque,GW,2022-02-02 22:55:55,11.2833,-15.8333,77.97,85,12,11.77
147,Chifeng,CN,2022-02-02 22:58:03,42.2683,118.9636,2.68,82,8,4.65
148,Chirilagua,SV,2022-02-02 22:58:03,13.2203,-88.1386,80.58,61,5,6.55
149,Lufilufi,WS,2022-02-02 22:58:03,-13.8745,-171.5986,74.98,77,100,17.69
150,Mareeba,AU,2022-02-02 22:58:04,-17.0,145.4333,82.49,91,100,6.49
151,Brandfort,ZA,2022-02-02 22:58:05,-28.7001,26.4597,67.41,69,64,5.06
152,Nago,JP,2022-02-02 22:58:05,26.5881,127.9761,69.87,89,66,8.39
153,Muros,ES,2022-02-02 22:58:06,42.7762,-9.0603,54.23,84,100,7.63
154,Krasnogorskoye,RU,2022-02-02 22:58:06,52.2953,86.1979,-4.25,100,98,2.68
155,Bethel,US,2022-02-02 22:58:07,41.3712,-73.414,40.41,100,100,1.86
156,Broome,US,2022-02-02 22:53:31,42.2506,-75.833,40.69,71,100,3.0
157,Vlakhiotis,GR,2022-02-02 22:58:07,36.8667,22.7,49.17,89,98,8.5
158,Georgetown,MY,2022-02-02 22:58:08,5.4112,100.3354,80.53,89,20,3.0
159,Morondava,MG,2022-02-02 22:58:08,-20.2833,44.2833,80.69,85,78,7.07
160,Kahului,US,2022-02-02 22:50:42,20.8947,-156.47,82.42,66,20,13.8
161,Plastun,RU,2022-02-02 22:58:09,44.7561,136.2939,6.13,76,99,6.11
162,Flin Flon,CA,2022-02-02 22:58:10,54.7682,-101.865,-11.36,53,0,12.66
163,Poum,NC,2022-02-02 22:58:10,-20.2333,164.0167,80.1,75,0,5.88
164,Westport,US,2022-02-02 22:51:07,41.1415,-73.3579,42.62,93,0,3.0
165,Kingisepp,RU,2022-02-02 22:58:12,59.3733,28.6134,8.8,99,95,0.85
166,Kavieng,PG,2022-02-02 22:53:59,-2.5744,150.7967,78.96,84,100,14.27
167,Haines Junction,CA,2022-02-02 22:53:20,60.7522,-137.5108,1.35,60,100,2.3
168,Sesheke,ZM,2022-02-02 22:58:13,-17.4759,24.2968,67.03,89,6,3.91
169,Pospelikha,RU,2022-02-02 22:58:14,51.95,81.7667,-7.26,100,74,1.12
170,Raga,SS,2022-02-02 22:56:26,8.4596,25.678,74.86,23,92,3.76
171,Meulaboh,ID,2022-02-02 22:58:14,4.1363,96.1285,75.81,86,66,4.27
172,Thompson,CA,2022-02-02 22:58:15,55.7435,-97.8558,-9.24,59,20,12.66
173,Acarau,BR,2022-02-02 22:58:16,-2.8856,-40.12,79.66,80,54,11.52
174,General Roca,AR,2022-02-02 22:58:16,-39.0333,-67.5833,90.0,23,6,20.36
175,Asau,RO,2022-02-02 22:58:18,46.4333,26.4,22.28,89,87,6.24
176,Wahiawa,US,2022-02-02 22:58:18,21.5028,-158.0236,76.77,60,0,1.81
177,Mnogovershinnyy,RU,2022-02-02 22:55:24,53.9353,139.9242,-8.43,94,98,5.64
178,Dali,CN,2022-02-02 22:58:19,25.7,100.1833,33.67,86,4,3.78
179,Vila,PT,2022-02-02 22:58:19,42.0304,-8.1588,43.68,78,96,4.29
180,Riacho De Santana,BR,2022-02-02 22:58:20,-13.6092,-42.9389,73.44,81,68,1.48
181,Faya,SA,2022-02-02 22:58:21,18.3851,42.4509,53.71,67,10,1.19
182,Male,MV,2022-02-02 22:58:21,4.1748,73.5089,82.35,78,75,12.66
183,Matara,LK,2022-02-02 22:56:06,5.9485,80.5353,70.84,89,4,6.53
184,Besikduzu,TR,2022-02-02 22:59:25,41.052,39.2284,64.29,66,100,10.69
185,Olafsvik,IS,2022-02-02 22:52:33,64.8945,-23.7142,30.25,52,98,4.27
186,Sao Joao Da Barra,BR,2022-02-02 22:59:27,-21.6403,-41.0511,74.88,90,100,6.85
187,Marsh Harbour,BS,2022-02-02 22:57:46,26.5412,-77.0636,71.46,63,8,16.24
188,Kavaratti,IN,2022-02-02 22:57:12,10.5669,72.642,79.39,73,15,11.16
189,Butaritari,KI,2022-02-02 22:57:02,3.0707,172.7902,81.66,79,28,17.27
190,San Ignacio,BZ,2022-02-02 22:59:30,17.1561,-89.0714,89.74,58,20,4.61
191,Caravelas,BR,2022-02-02 22:59:31,-17.7125,-39.2481,77.76,86,100,4.99
192,Chokurdakh,RU,2022-02-02 22:59:33,70.6333,147.9167,-21.08,98,93,7.23
193,Tongzi,CN,2022-02-02 22:59:33,28.7829,105.0877,37.83,91,30,2.3
194,Yellowknife,CA,2022-02-02 22:55:58,62.456,-114.3525,-24.45,75,20,3.44
195,Narsaq,GL,2022-02-02 22:59:36,60.9167,-46.05,1.15,64,65,8.28
196,Itoman,JP,2022-02-02 22:59:37,26.1247,127.6694,69.82,88,75,18.41
197,Santa Cruz,BO,2022-02-02 22:59:33,-17.8,-63.1667,87.85,62,20,13.8
198,Kaduqli,SD,2022-02-02 22:59:39,11.0167,29.7167,73.83,21,5,5.64
199,Bridlington,GB,2022-02-02 22:59:42,54.0831,-0.1919,50.18,89,100,15.79
200,Hovd,MN,2022-02-02 22:59:43,48.0056,91.6419,-5.87,99,95,0.49
201,Kruisfontein,ZA,2022-02-02 22:59:43,-34.0033,24.7314,68.88,92,100,7.38
202,Kununurra,AU,2022-02-02 22:52:34,-15.7667,128.7333,78.78,89,40,5.75
203,Bentiu,SS,2022-02-02 22:59:44,9.2333,29.8333,76.6,24,86,4.25
204,Comodoro Rivadavia,AR,2022-02-02 22:55:23,-45.8667,-67.5,84.06,21,0,14.97
205,Batagay-Alyta,RU,2022-02-02 22:59:45,67.8006,130.4114,-25.6,99,62,3.74
206,Talcahuano,CL,2022-02-02 22:59:45,-36.7167,-73.1167,64.08,72,0,10.36
207,Havre-Saint-Pierre,CA,2022-02-02 22:56:37,50.2334,-63.5986,26.6,86,100,13.8
208,Margate,GB,2022-02-02 22:59:47,51.3813,1.3862,47.75,88,100,1.99
209,Yebaishou,CN,2022-02-02 22:59:47,41.3975,119.6408,4.01,80,0,3.6
210,Bukama,CD,2022-02-02 22:59:50,-9.2,25.85,68.2,96,100,0.81
211,Waddan,LY,2022-02-02 22:59:51,29.1614,16.139,47.44,60,17,12.3
212,Beloha,MG,2022-02-02 22:59:52,-25.1667,45.05,72.32,75,0,13.6
213,Alice Springs,AU,2022-02-02 22:59:53,-23.7,133.8833,65.75,82,40,12.66
214,Siayan,PH,2022-02-02 22:59:54,8.2667,123.1,76.14,87,87,3.29
215,Batasan,PH,2022-02-02 22:59:55,12.7667,120.7833,79.36,74,64,0.96
216,Mount Gambier,AU,2022-02-02 22:55:55,-37.8333,140.7667,58.91,63,100,11.5
217,Mahibadhoo,MV,2022-02-02 22:59:30,3.7833,72.9667,81.82,71,4,9.33
218,Omboue,GA,2022-02-02 22:57:11,-1.5746,9.2618,77.67,86,86,5.61
219,Atuona,PF,2022-02-02 22:59:56,-9.8,-139.0333,78.39,76,94,15.35
220,Deep River,CA,2022-02-02 23:00:01,46.1001,-77.4995,32.95,97,100,7.11
221,Calamar,CO,2022-02-02 23:00:03,10.2511,-74.9146,87.31,49,20,13.44
222,Hasaki,JP,2022-02-02 23:00:04,35.7333,140.8333,27.0,52,44,12.08
223,Katrineholm,SE,2022-02-02 23:00:06,58.9959,16.2072,26.04,87,64,3.94
224,Kaitangata,NZ,2022-02-02 23:00:07,-46.2817,169.8464,54.03,94,100,5.06
225,Pala,TD,2022-02-02 23:00:10,9.3642,14.9046,72.95,19,7,9.82
226,Zabid,YE,2022-02-02 23:00:11,14.1951,43.3152,77.18,78,97,4.9
227,Upernavik,GL,2022-02-02 22:59:30,72.7868,-56.1549,-8.32,67,97,9.95
228,Tuatapere,NZ,2022-02-02 23:00:14,-46.1333,167.6833,58.82,81,100,7.2
229,Leningradskiy,RU,2022-02-02 22:52:24,69.3833,178.4167,-13.59,94,30,9.89
230,Fortuna,US,2022-02-02 23:00:17,40.5982,-124.1573,58.48,73,0,7.0
231,Manoel Urbano,BR,2022-02-02 23:01:19,-8.8389,-69.2597,74.41,96,97,2.84
232,Salamiyah,SY,2022-02-02 23:01:20,35.0113,37.0532,49.91,50,99,14.29
