City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
468,Pemba,MZ,77.34,light rain,-12.974,40.5178,Guesthouse Samotina
473,Samarai,PG,83.97,overcast clouds,-10.6167,150.6667,Nuli Sapi
480,Santa Cruz,BO,82.45,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
486,Guiglo,CI,78.31,light rain,6.5456,-7.4966,Hotel GBAOLY 2
490,Ciudad Bolivar,VE,88.16,scattered clouds,8.1222,-63.5497,Hotel Edi
491,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
499,Puerto Maldonado,PE,75.02,overcast clouds,-12.6,-69.1833,Wasai Hotel
502,Faanui,PF,80.92,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
506,Venice,US,78.17,haze,27.0998,-82.4543,A Beach Retreat On Casey Key
508,Luis Correia,BR,78.44,light rain,-2.8792,-41.6669,Hotel Amarração
510,Natal,BR,82.62,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
513,Lazaro Cardenas,MX,79.38,clear sky,17.9583,-102.2,quinta antigua
515,Barra Velha,BR,80.08,overcast clouds,-26.6322,-48.6847,Vila Alaide Praia Hotel
518,Nanakuli,US,82.04,clear sky,21.3906,-158.1547,Camp Pālehua
520,Gladstone,AU,78.73,broken clouds,-23.85,151.25,Highpoint International Hotel
521,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
522,Ambon,ID,77.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
523,Goya,AR,82.51,light rain,-29.14,-59.2626,Apart Costanera Goya
527,Imbituba,BR,79.83,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
530,Meulaboh,ID,75.2,overcast clouds,4.1363,96.1285,Kost Pria
531,Vallenar,CL,76.82,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
532,Namatanai,PG,83.8,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
539,Auki,SB,81.82,overcast clouds,-8.7676,160.7034,Auki Motel
